ID,Status,Created At,Severity,Tag,Message,Occurrences,Last Seen,App,Environment,Exception Class,Source File,Resolution Notes
"23","Resolved","2026-08-23 19:29:37","HIGH","data","Database migration 0042 failed — rollback applied","1","2026-08-29 19:29:37","user-service","production","org.flywaydb.core.api.FlywayException","MigrationRunner.java","Migration V0042 had a missing NOT NULL constraint on the new column. Fixed the migration script to include a default value. Rollback was clean, re-ran successfully."
"22","Open","2026-08-29 17:29:37","MEDIUM","rate-limit","Rate limit exceeded for client IP 198.51.100.22","320","2026-08-29 19:29:37","api-gateway","production",,"RateLimiter.java",
"21","Resolved","2026-08-24 19:29:37","HIGH","payment","Payment gateway timeout after 5000ms","6","2026-08-29 19:29:37","api-gateway","production","java.net.SocketTimeoutException","PaymentGateway.java","Stripe raised their timeout threshold on their end. Increased our client timeout to 10000ms as a fallback. Monitoring for recurrence."
"20","Open","2026-08-29 15:29:37","HIGH","orders","Order fulfillment failed: warehouse API returned 503","4","2026-08-29 19:29:37","shop-service","production","io.clamped.demo.WarehouseException","FulfillmentService.java",
"19","Open","2026-08-29 12:29:37","HIGH","data","Failed to serialize user preferences: unexpected null field","2","2026-08-29 19:29:37","user-service","production","com.fasterxml.jackson.core.JsonProcessingException","UserSerializer.java",
"18","Open","2026-08-29 14:29:37","MEDIUM","auth","Password reset token not found or already used","7","2026-08-29 19:29:37","user-service","production",,"PasswordResetService.java",
"17","In Progress","2026-08-29 18:29:37","HIGH","auth","Too many login attempts for user usr-441 — account locked","10","2026-08-29 19:29:37","user-service","production","io.clamped.demo.AccountLockedException","AuthService.java",
"16","Open","2026-08-29 07:29:37","MEDIUM","orders","Order not found: ORD-99999","9","2026-08-29 19:29:37","shop-service","production","java.util.NoSuchElementException","OrderService.java",
"15","Resolved","2026-08-21 19:29:37","LOW","cache","Cache warming took longer than expected: 12s vs 3s target","3","2026-08-29 19:29:37","shop-service","production",,"CacheWarmer.java",
"14","In Progress","2026-08-27 19:29:37","HIGH","database","Connection timeout after 30000ms — retries exhausted","5","2026-08-29 19:29:37","shop-service","production","java.sql.SQLTimeoutException","DbPool.java",
"13","Open","2026-08-29 16:29:37","HIGH","routing","No healthy upstream found for service: recommendation-svc","8","2026-08-29 19:29:37","api-gateway","production","io.clamped.demo.UpstreamUnavailableException","LoadBalancer.java",
"12","Open","2026-08-29 14:29:37","LOW","search","Search index out of sync — stale results may appear","1","2026-08-29 19:29:37","shop-service","staging",,"SearchService.java",
